app_id,tag
6080,Action
6080,Adventure
6080,Building
6080,Casual
6080,Classic
6080,Co-op
6080,Dating Sim
6080,Funny
6080,Great Soundtrack
6080,Local Multiplayer
6080,Management
6080,Racing
6080,Simulation
6080,Singleplayer
6080,Strategy
6800,1990's
6800,Action
6800,Classic
6800,Co-op
6800,Difficult
6800,Historical
6800,Isometric
6800,Military
6800,Multiplayer
6800,Real Time Tactics
6800,Retro
6800,RTS
6800,Singleplayer
6800,Stealth
6800,Strategy
6800,Tactical
6800,War
6800,World War II
6830,Action
6830,Classic
6830,Co-op
6830,Difficult
6830,Isometric
6830,Military
6830,Multiplayer
6830,Old School
6830,Real Time Tactics
6830,Retro
6830,RTS
6830,Singleplayer
6830,Stealth
6830,Strategy
6830,Tactical
6830,War
6830,World War II
6850,Action
6850,Adventure
6850,Assassin
6850,Atmospheric
6850,Classic
6850,Crime
6850,Difficult
6850,First-Person
6850,FPS
6850,Gore
6850,Great Soundtrack
6850,Old School
6850,Sandbox
6850,Shooter
6850,Singleplayer
6850,Stealth
6850,Story Rich
6850,Tactical
6850,Third Person
6850,Third-Person Shooter
6860,Action
6860,Assassin
6860,Atmospheric
6860,Classic
6860,Crime
6860,Cult Classic
6860,Dark
6860,Difficult
6860,First-Person
6860,Great Soundtrack
6860,Puzzle
6860,Replay Value
6860,Sandbox
6860,Shooter
6860,Simulation
6860,Singleplayer
6860,Stealth
6860,Strategy
6860,Third Person
6860,Third-Person Shooter
6900,Action
6900,Adventure
6900,Assassin
6900,Atmospheric
6900,Classic
6900,Crime
6900,Difficult
6900,Great Soundtrack
6900,Sandbox
6900,Shooter
6900,Singleplayer
6900,Stealth
6900,Strategy
6900,Tactical
6900,Third Person
6900,Third-Person Shooter
6900,Violent
6910,Action
6910,Action RPG
6910,Atmospheric
6910,Classic
6910,Conspiracy
6910,Cult Classic
6910,Cyberpunk
6910,Dystopian
6910,First-Person
6910,FPS
6910,Great Soundtrack
6910,Immersive Sim
6910,Inventory Management
6910,Moddable
6910,RPG
6910,Sci-fi
6910,Shooter
6910,Singleplayer
6910,Stealth
6910,Story Rich
6920,Action
6920,Action RPG
6920,Adventure
6920,Atmospheric
6920,Classic
6920,Conspiracy
6920,Cyberpunk
6920,Dystopian
6920,Female Protagonist
6920,First-Person
6920,FPS
6920,Illuminati
6920,Immersive Sim
6920,RPG
6920,Sci-fi
6920,Shooter
6920,Singleplayer
6920,Stealth
6920,Story Rich
6920,Transhumanism
6980,Action
6980,Adventure
6980,Atmospheric
6980,Classic
6980,Dark
6980,Dark Fantasy
6980,Fantasy
6980,First-Person
6980,FPS
6980,Horror
6980,Immersive
6980,Immersive Sim
6980,Medieval
6980,Open World
6980,RPG
6980,Singleplayer
6980,Stealth
6980,Steampunk
6980,Story Rich
6980,Third Person
7000,3D Platformer
7000,Action
7000,Action-Adventure
7000,Adventure
7000,Atmospheric
7000,Classic
7000,Controller
7000,Exploration
7000,Female Protagonist
7000,Modern
7000,Parkour
7000,Platformer
7000,Puzzle
7000,Shooter
7000,Singleplayer
7000,Story Rich
