app_id,name,playtime_minutes,playtime_hours,playtime_2weeks,img_icon_url,img_logo_url
601510,Yu-Gi-Oh! Duel Links,175,2.92,0,56f5f27bf43ec772b614f75fd937f7f8e477c860,
607890,Sword Art Online: Hollow Realization Deluxe Edition,481,8.02,0,d7c7125cc4471a73b0302443666a7c0bc36ad5c8,
610370,Desperados III,143,2.38,0,3f8d3ff835397cb30ee44693757456060946de63,
615610,Orbt XL,189,3.15,0,66d9955f28fa6fb166a0c76cc05cb9e2ea36495a,
626690,Sword Art Online: Fatal Bullet,2116,35.27,0,fe19fa4187e12ccdb1d6f31ef56e3e54d3fc1dee,
460810,Vanquish,481,8.02,0,a5024e8135e1865f7df484f512ddf4e117fc0140,
632470,Disco Elysium,585,9.75,0,b681544caa931c7c1a6788e6e3e33cb42892d17c,
639650,1982,24,0.4,0,86f9d39ec22080b5f0c282f48d83928a4adaeeac,
643270,OLDTV,282,4.7,0,4555f4368ea7296dde5d65a2188884e6c073a6de,
424840,Little Nightmares,534,8.9,0,1904c041f963b5e2cb22b56c370444517cc4e288,
218620,PAYDAY 2,288,4.8,0,a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414,
652980,Loading Screen Simulator,71,1.18,0,a05d56896d73128b477f78062b6cfc72f03c30d1,
654990,Dude Simulator,235,3.92,0,0a63b4c93ab51f3bae2075c4039608046484a08e,
666220,CS2D,1,0.02,0,ef00f5299425ba5a443f1e1b33b46395d5d726f5,
601430,The Evil Within 2,0,0.0,0,823f7bef429bc85a7a68dba32d6f47938fc3b689,
677620,Splitgate,247,4.12,0,03e452b180ff77986c3957819bde4c69448a2d0f,
323580,Jotun: Valhalla Edition,640,10.67,0,69b336a11a1e8acee4034b970a89c1df7cf53b32,
377160,Fallout 4,2164,36.07,0,779c4356ebe32af2af7c9f0bbba595dfe872cd7f,
584400,Sonic Mania,304,5.07,0,c329b28adc1eb1ae73c9d4df9d9e48d7ea63bd86,
698780,Doki Doki Literature Club,91,1.52,0,2bf8ed528d8f251428435a6f6ffc8e4e8e4b294c,
113020,Monaco,228,3.8,0,169e693854d9f70984987fa3b6b5f1f9eb27122a,
567640,Danganronpa V3: Killing Harmony,1738,28.97,0,27e0b08d9506a81bc9f8d3a3616fb455106bfa68,
435150,Divinity: Original Sin 2,3647,60.78,0,519a99caef7c5e2b4625c8c2fa0620fb66a752f3,
725270,Necrobarista,38,0.63,0,020035896a509ec7fba632cf4320fb2499a55c88,
38400,Fallout,466,7.77,0,df0001a1aa011e6c7a8f38a65908070eba3d2f61,
743640,Achievement Clicker,5,0.08,0,33db869902669157ee0878b8fa4fcf4be8d7bd71,
744800,Banyu Lintar Angin - Little Storm -,2,0.03,0,2b62a0b108481a5627e98a269a83b4358ad5bc11,
746850,Cloudpunk,19,0.32,0,8ea77cc8558c0c413dd829026b1031cbbbaf66d0,
427460,Battlerite Public Test,0,0.0,0,,
504370,Battlerite,158,2.63,0,943ec9894774f40c9863d0305c456a3c3b2f7c13,
760160,Vampire: The Masquerade - Bloodhunt,338,5.63,0,08e7dfced6c1d534ec5d580a3a177427c7250a60,
667870,MINDNIGHT,64,1.07,0,39a095dfe905bda9bf568f2e95f0bcaf0bd15816,
368230,Kingdom: Classic,552,9.2,0,0d741624c643448ff74741f50a4b80a24529b869,
774171,Muse Dash,625,10.42,0,e0f4a24aa5b44887dc3467ee3e9ceabf46082041,
774361,Blasphemous,260,4.33,0,4adaff16db14b2cf3bcfda2c523f0d4d68e15d6f,
787480,Phoenix Wright: Ace Attorney Trilogy,0,0.0,0,fbacf38826f9e6fbbd65535496847def4fe54229,
791930,BombTag,122,2.03,0,d77e593947dceed0abf11f632c4eb39435d866b1,
794600,LET IT DIE,220,3.67,0,b03083339ec8ac21f6f4b45e676b9d825af8b51d,
798460,Ni no Kuni Wrath of the White Witch™ Remastered,57,0.95,0,c2ab51aa5079f5e64e6128b247057c165555ca8e,
637650,FINAL FANTASY XV WINDOWS EDITION,276,4.6,0,0a99fcc7b08c7240d9146390cf1be28451aeef73,
805940,RUSSIA BATTLEGROUNDS,0,0.0,0,06c93a85ade77124d92b467355714a28b0d13b96,
834530,Yakuza Kiwami,1335,22.25,0,220ff034e362250b2d19637c3dd1af0899a49089,
552500,Warhammer: Vermintide 2,192,3.2,0,a671f2ddf7359beba9702ac097baf6d50cb07202,
24200,DC Universe Online,78,1.3,0,1563d80759bfa4f9698a1799b3872e7f3a5209b1,
837610,Mary Skelter: Nightmares,375,6.25,0,13766adba6c87624bcc43a3dd8e53a030b258e95,
838310,Bloodstained: Curse of the Moon,672,11.2,0,aff67ca3a627b1cfceee2ab9f35b1e876cabf331,
570940,DARK SOULS™: REMASTERED,1119,18.65,0,d74cfa4f3a2070f45ad8ce44e5f61a6507ee00b6,
847370,Sunset Overdrive,684,11.4,0,9870dc3dc81444a78503eecb9ca54a9628a836f5,
851100,Touhou Luna Nights,404,6.73,0,6f24e0e534e62a5d23f4201c657da1bb46b67b77,
439190,Stories: The Path of Destinies,217,3.62,0,ed3383f9deed7e41515d34e544a67258fcf91c23,
864540,FALLBACK,84,1.4,0,f40a87797a91209c7d6c8d1add855a907f84edeb,
868520,killer7,830,13.83,0,dc348a941170ad1f45c2b670bec129ad4ff54d69,
480490,Prey,1431,23.85,0,5ef565e374f039469e4a5c332cd51584af7ec5db,
741820,Prey: Typhon Hunter,0,0.0,0,c287ea60b90c8d4616f7cd0b92e0128289727c00,
638970,Yakuza 0,4601,76.68,0,3c19e2140eb09113fddd33b796a3f12185163cb7,
883710,Resident Evil 2,1393,23.22,0,86ef2fdebeced746313994ccf2d7afb1f2887bf0,
884260,Akane,252,4.2,0,c5e92c37bffe6597abe5a8b429460faccce65977,
892970,Valheim,1640,27.33,0,2f64c9a826e2c6cf3253fea4834c2e612db09143,
737800,F1 2018,0,0.0,0,6bde4fea9075bf74379941d696004e7b356c5af2,
895870,Project Wingman,360,6.0,249,cac32e8d11e46c215685f7a736c662009fb69f93,
914800,Coffee Talk,201,3.35,0,49d266aef4f1f54f7b721ccce0264067cea797c0,
924140,Hand Simulator: Survival,175,2.92,0,6ff4145d649d59b54b47765d166c5d52f5ef536b,
814380,Sekiro™: Shadows Die Twice,8318,138.63,0,2704fb9c5465045d00a5b19a0cb1e9bdabbd15cc,
412020,Metro Exodus,592,9.87,0,f9863ed0ffc717b130744488f088ae95fe6e9bd8,
1449560,Metro Exodus Enhanced Edition,464,7.73,0,f9863ed0ffc717b130744488f088ae95fe6e9bd8,
304390,For Honor,238,3.97,0,64dd8eca34f0b5faeda135f057da1973806852f2,
654310,For Honor - Public Test,0,0.0,0,64dd8eca34f0b5faeda135f057da1973806852f2,
946050,Soda Dungeon 2,101,1.68,0,75bd56e1db97bc94a6bc6b8a624af61602ef5009,
948740,AI: The Somnium Files,990,16.5,0,7150721d70b5302de5cdc62e99a3bfb5f5675119,
953490,CARRION,334,5.57,0,e6f76f606f82cdadbdac5cc829410eac3ab029ac,
972660,Spiritfarer®: Farewell Edition,315,5.25,0,21c6c86b51df38e9480231792acf0cfc30f51820,
35140,Batman: Arkham Asylum GOTY Edition,0,0.0,0,e52f91ecb0d3f20263e96fe188de1bcc8c91643e,
208650,Batman™: Arkham Knight,0,0.0,0,f6c2ce13796844750dfbd01685fb009eeac4bf70,
231430,Company of Heroes 2,225,3.75,0,5e7e1866fb4f33a17393b0441cd1c750dbd91c5f,
999730,Secret Neighbor Beta,0,0.0,0,37f54c1004f528d1177a19b49c5def64a8f8b5a5,
999860,Enemy On Board,1,0.02,0,ea046139c29c431629dd3dd216af34eda9c4a28b,
308600,Gene Shift Auto,244,4.07,0,e0ba85c5d76697b6c1f8999f4ee5691eda138185,
278360,A Story About My Uncle,459,7.65,0,feb33a53334222c82aaf0545e00913bd92bcd3d9,
893180,Catherine Classic,0,0.0,0,6aca33b636793db64e21800b0acd9eb433ad790a,
524220,NieR:Automata™,2950,49.17,0,ec431ecb2a5178c5a01bb15550f112f93af029bb,
